,ユーザー名,ユーザーID,リツイート数,いいね数,日時,本文
30,Junico02@ヴィーガン生活,Sorato_J_Kiryu,0,2,2021-03-02-14:37:47,python勉強中、、にしても汎用性すごいな普段は金融システムでCOBOLばっかりだから、驚きが色々、、笑
31,Qiita_Python,qiita_python,0,2,2021-03-02-14:35:54,BoW / BoVW(bag of visual words)について理解する - https://t.co/iu1amLIFqj
32,shin,dev_shin35,0,1,2021-03-02-14:34:59,APIの動作確認にはInsomnia使ってるんだけど、めっちゃ快適。curlで試すとかとかPythonでスクリプト組むとか、そんなので凌ぐ必要なかったわ。
33,nao＠bot開発受付中（Go or Python）,naokits,0,1,2021-03-02-14:33:35,躍らせられてるだけもきがするが。。https://t.co/a635KBZgPZ
34,ｷﾞﾛﾁﾝ,ShiShiRuiRui461,0,2,2021-03-02-14:33:18,卒業式までにPythonを触れるようにするぞ〜。
35,ハチ,hanaukyomaidcor,0,2,2021-03-02-14:32:43,@Pitbull_Python @Tavo31188728 地元の同世代からはバーサーカーとか言われてましたけど実際は私より背も低く体も細いんで、みんな見た目に騙されるんです_:(´ `」 ∠):_ https://t.co/lxi06FWlnV
36,taka,taka93971859,0,1,2021-03-02-14:32:07,@python_lady ね、村祐さんはちょいフルーティーな感じですよね☆
37,たこぱいそん,python_octopus,0,6,2021-03-02-14:30:55,紙の本買うか。
38,たこぱいそん,python_octopus,0,10,2021-03-02-14:30:43,ザ・ファブルぜひ読んでみてください。私はいつの間にかマガポケに3000以上課金しちゃってた。
39,たくみち＠ダイエット中🏃,takumchi,2,5,2021-03-02-14:30:28,"#今日の積み上げ === #運動 ===Run 5.64km  34:09 6:03/kmWalk 6.33km腹筋ローラー 膝15回 === #学習 ===Python #100DaysOfCode 【Day41】・ #AtCoder ABC1-22,40-64AABCのA問題を一気にバーッと解きました。また明日♪Sweet dreams💤"
40,Tony@毎日勉強×行動するサラリーマン,takapy999,1,3,2021-03-02-14:30:27,"Udemyでセールやってたから買っちゃった👇現役シリコンバレーエンジニアが教えるPython 3 入門 + 応用 +アメリカのシリコンバレー流コードスタイル24,000円が1,680円になってたけど、今見たら1,760円。なんでだろ？#Python"
41,たこぱいそん,python_octopus,0,5,2021-03-02-14:29:03,いやー、普段なら読まないジャンルなんですけどハマっちゃいましたねぇ。
42,たこぱいそん,python_octopus,0,4,2021-03-02-14:28:09,そう、これなんですよね。漫画だけど映像作品って感じ。
43,./りんこﾞテﾞ二 ｯシ ｭ,RingoPastry0731,0,2,2021-03-02-14:27:30,Windows版VimのPythonインターフェースが有効化できない問題、どうもVimがコンパイルされた時のPythonバージョンの時のdllファイルが必要らしくて無限に面倒な表情している
44,もけ,r193333333,0,3,2021-03-02-14:27:13,今日は snippet generator を python で実装して、無事ライブラリを移行することに成功したよ
45,Kindle本セール - 電子書籍値下げチェッカー,ebook_checker,0,2,2021-03-02-14:27:02,【人気！】カテゴリー： プログラミング「ゲームを作りながら楽しく学べるPythonプログラミング (Future Coders（NextPublishing）)」44%OFF 817円https://t.co/4G7KubHwsZ
46,ZGMF-X-2OA,2oaZgmf,0,1,2021-03-02-14:26:34,@python_lady 自分の地元のすず音　日本酒のスパークリングも　良かったら1度　ご賞味下さい😊
47,うにだよ✴︎🦀⌨️,u2dayo,0,2,2021-03-02-14:24:32,"問題が簡単だったから全部書きなおしてもすぐ終わった【AtCoder解説】PythonでABC164のA, B, C問題を制する ！ https://t.co/e6VNYTUhR0"
48,たこぱいそん,python_octopus,0,4,2021-03-02-14:24:09,いや違うんです。ほんと自然なんですよね。
49,たこぱいそん,python_octopus,0,3,2021-03-02-14:23:38,モノローグ見た覚え全くないって言って1話読み返して1p目で爆笑している。記憶力雑魚か？
50,To,7Toshiaki,0,1,2021-03-02-14:23:35,@python_lady 美味しいからって呑み過ぎ注意ですよ☺️
51,アキラ@ポケ柱,s_megared,0,1,2021-03-02-14:23:32,@python_lady 乾杯❗️
